Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
27-01-2025,Lo Wu,Arrival,46270,15789,692,62751
27-01-2025,Lok Ma Chau,Arrival,10523,3961,400,14884
27-02-2025,Lo Wu,Arrival,65755,10783,865,77403
27-02-2025,Lok Ma Chau,Arrival,10851,2328,476,13655
28-01-2025,Lo Wu,Arrival,26887,9954,444,37285
28-01-2025,Lok Ma Chau,Arrival,7155,2728,251,10134
29-01-2025,Lo Wu,Arrival,30935,12689,604,44228
29-01-2025,Lok Ma Chau,Arrival,6905,3437,135,10477
30-01-2025,Lo Wu,Arrival,55164,26421,677,82262
30-01-2025,Lok Ma Chau,Arrival,11736,5527,198,17461
31-01-2025,Lo Wu,Arrival,85826,27174,866,113866
31-01-2025,Lok Ma Chau,Arrival,18089,5434,326,23849
01-01-2025,Lok Ma Chau,Arrival,23124,,,
01-01-2025,Lok Ma Chau,Departure,23111,,,
01-02-2025,Lok Ma Chau,Arrival,27789,,,
01-02-2025,Lok Ma Chau,Departure,18286,,,
02-01-2025,Lok Ma Chau,Arrival,15811,,,
02-01-2025,Lok Ma Chau,Departure,13433,,,
02-02-2025,Lok Ma Chau,Arrival,30522,,,
02-02-2025,Lok Ma Chau,Departure,14441,,,
03-01-2025,Lok Ma Chau,Arrival,14897,,,
03-01-2025,Lok Ma Chau,Departure,15491,,,
03-02-2025,Lok Ma Chau,Arrival,22445,,,
03-02-2025,Lok Ma Chau,Departure,14520,,,
04-01-2025,Lok Ma Chau,Arrival,19676,,,
04-01-2025,Lok Ma Chau,Departure,21835,,,
04-02-2025,Lok Ma Chau,Arrival,18215,,,
04-02-2025,Lok Ma Chau,Departure,15423,,,
05-01-2025,Lok Ma Chau,Arrival,25512,,,
05-01-2025,Lok Ma Chau,Departure,17153,,,
05-02-2025,Lok Ma Chau,Arrival,17854,,,
05-02-2025,Lok Ma Chau,Departure,14938,,,
06-01-2025,Lok Ma Chau,Arrival,16529,,,
06-01-2025,Lok Ma Chau,Departure,15543,,,
06-02-2025,Lok Ma Chau,Arrival,14438,,,
06-02-2025,Lok Ma Chau,Departure,14248,,,
07-01-2025,Lok Ma Chau,Arrival,13881,,,
07-01-2025,Lok Ma Chau,Departure,13331,,,
07-02-2025,Lok Ma Chau,Arrival,14791,,,
07-02-2025,Lok Ma Chau,Departure,17065,,,
